,index,Pstring,type,Z,X,Znum,Xnum,zindex,xindex
0,0,IIII,0,IIII,,0,0,0,0
1,1,IIIZ,0,IIIZ,,1,0,1,0
2,2,IIZI,0,IIZI,,2,0,2,0
3,3,IIZZ,0,IIZZ,,3,0,3,0
4,4,IZII,0,IZII,,4,0,4,0
5,5,IZIZ,0,IZIZ,,5,0,5,0
6,6,IZZI,0,IZZI,,6,0,6,0
7,7,ZIII,0,ZIII,,8,0,7,0
8,8,ZIIZ,0,ZIIZ,,9,0,8,0
9,9,ZIZI,0,ZIZI,,10,0,9,0
10,10,ZZII,0,ZZII,,12,0,10,0
11,11,IXIX,1,,IXIX,0,5,0,1
12,17,XIXI,1,,XIXI,0,10,0,2
13,12,IXZX,2,IIZI,IXIX,2,5,2,1
14,23,XXYY,2,IIZZ,XXXX,3,15,3,3
15,18,XZXI,2,IZII,XIXI,4,10,4,2
16,13,IYIY,2,IZIZ,IXIX,5,5,5,1
17,19,XZXZ,2,IZIZ,XIXI,5,10,5,2
18,24,XYYX,2,IZZI,XXXX,6,15,6,3
19,15,IYZY,2,IZZZ,IXIX,7,5,11,1
20,25,YXXY,2,ZIIZ,XXXX,9,15,8,3
21,14,ZXZX,2,ZIZI,IXIX,10,5,9,1
22,20,YIYI,2,ZIZI,XIXI,10,10,9,2
23,26,YYXX,2,ZZII,XXXX,12,15,10,3
24,21,YZYI,2,ZZZI,XIXI,14,10,12,2
25,16,ZYZY,2,ZZZZ,IXIX,15,5,13,1
26,22,YZYZ,2,ZZZZ,XIXI,15,10,13,2
